Item_Code,Type,ForecastDate,Metric,Model_type,Forecast_Value
CFPO-100,Control & Reagent,2026-10-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2026-11-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2026-12-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-01-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-02-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-03-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-04-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-05-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-06-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-07-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-08-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-09-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-10-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-11-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2027-12-01,Quantity,ETS,0.04762060452866796
CFPO-100,Control & Reagent,2026-10-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2026-11-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2026-12-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-01-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-02-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-03-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-04-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-05-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-06-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-07-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-08-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-09-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-10-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-11-01,Revenue,ETS,9.500887018106253
CFPO-100,Control & Reagent,2027-12-01,Revenue,ETS,9.500887018106253
CFPO-102,Control & Reagent,2026-10-01,Quantity,ETS,0.3333690583363535
CFPO-102,Control & Reagent,2026-11-01,Quantity,ETS,0.3333690583363535
CFPO-102,Control & Reagent,2026-12-01,Quantity,ETS,0.3333690583363535
CFPO-102,Control & Reagent,2027-01-01,Quantity,ETS,0.3333690583363535
